,scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
51,KingsCollege1,train,seq8,KingsCollege/seq8/frame00052.png,-1.042,-15.813655,1.79019,0.753106,0.565345,-0.26375,0.208932
52,KingsCollege1,train,seq8,KingsCollege/seq8/frame00053.png,-1.905716,-15.649339,1.791282,0.766852,0.573862,-0.237675,0.161654
53,KingsCollege1,train,seq8,KingsCollege/seq8/frame00054.png,-2.599202,-15.708339,2.025125,0.757211,0.585387,-0.2494,0.147489
54,KingsCollege1,train,seq8,KingsCollege/seq8/frame00055.png,-3.279352,-15.582495,2.043642,0.746544,0.574796,-0.284309,0.177343
55,KingsCollege1,train,seq8,KingsCollege/seq8/frame00056.png,-4.105374,-15.71371,1.6411,0.760469,0.546145,-0.288342,0.200675
56,KingsCollege1,train,seq8,KingsCollege/seq8/frame00057.png,-4.855231,-15.639318,1.938854,0.761273,0.545566,-0.282112,0.207928
57,KingsCollege1,train,seq8,KingsCollege/seq8/frame00058.png,-5.558554,-15.377435,2.052025,0.746527,0.537459,-0.279001,0.275669
58,KingsCollege1,train,seq8,KingsCollege/seq8/frame00059.png,-6.225628,-15.227215,1.842388,0.726332,0.551404,-0.285048,0.2952
59,KingsCollege1,train,seq8,KingsCollege/seq8/frame00060.png,-6.808716,-14.776994,1.956396,0.710437,0.556432,-0.28853,0.32002
60,KingsCollege1,train,seq8,KingsCollege/seq8/frame00061.png,-7.4195,-14.408672,1.943574,0.702086,0.549339,-0.310535,0.329955
61,KingsCollege1,train,seq8,KingsCollege/seq8/frame00062.png,-7.989648,-14.035198,1.92751,0.682939,0.540065,-0.332424,0.362517
62,KingsCollege1,train,seq8,KingsCollege/seq8/frame00063.png,-8.653499,-13.793796,1.817214,0.660878,0.538152,-0.357141,0.382209
63,KingsCollege1,train,seq8,KingsCollege/seq8/frame00064.png,-9.123465,-13.208417,1.722406,0.683091,0.543983,-0.314596,0.372154
64,KingsCollege1,train,seq8,KingsCollege/seq8/frame00065.png,-9.923881,-12.997443,1.685706,0.679363,0.586926,-0.287098,0.334004
65,KingsCollege1,train,seq8,KingsCollege/seq8/frame00066.png,-10.43309,-12.82965,1.589558,0.656691,0.599942,-0.303088,0.342
66,KingsCollege1,train,seq8,KingsCollege/seq8/frame00067.png,-11.15463,-12.557269,1.575887,0.667707,0.57495,-0.318636,0.349387
67,KingsCollege1,train,seq8,KingsCollege/seq8/frame00068.png,-11.817493,-12.463059,1.558782,0.684104,0.56661,-0.312325,0.33676
68,KingsCollege1,train,seq8,KingsCollege/seq8/frame00069.png,-12.426964,-12.163094,1.637267,0.656992,0.579037,-0.330542,0.35188
69,KingsCollege1,train,seq8,KingsCollege/seq8/frame00070.png,-13.204522,-12.134597,1.605659,0.651524,0.560828,-0.333409,0.387075
70,KingsCollege1,train,seq8,KingsCollege/seq8/frame00071.png,-13.870811,-11.8992,1.616058,0.628502,0.583777,-0.336115,0.388866
71,KingsCollege1,train,seq8,KingsCollege/seq8/frame00072.png,-14.488044,-11.803976,1.584538,0.655173,0.563581,-0.331672,0.37831
72,KingsCollege1,train,seq8,KingsCollege/seq8/frame00073.png,-15.02246,-11.559649,1.665855,0.64248,0.572125,-0.334536,0.384678
73,KingsCollege1,train,seq8,KingsCollege/seq8/frame00074.png,-15.728861,-11.511325,1.742264,0.648586,0.535549,-0.376166,0.388617
74,KingsCollege1,train,seq8,KingsCollege/seq8/frame00075.png,-16.384337,-11.334984,1.763743,0.667875,0.534713,-0.356183,0.375712
75,KingsCollege1,train,seq8,KingsCollege/seq8/frame00076.png,-17.209191,-11.292071,1.704414,0.638258,0.536738,-0.388504,0.391923
76,KingsCollege1,train,seq8,KingsCollege/seq8/frame00077.png,-17.808503,-10.948638,1.69863,0.655155,0.554567,-0.335084,0.388517
77,KingsCollege1,train,seq8,KingsCollege/seq8/frame00078.png,-18.562978,-10.951365,1.68393,0.640138,0.57022,-0.327319,0.397409
78,KingsCollege1,train,seq8,KingsCollege/seq8/frame00079.png,-19.236192,-10.825641,1.470857,0.649323,0.574442,-0.3268,0.376295
247,KingsCollege1,train,seq6,KingsCollege/seq6/frame00169.png,-0.751473,-17.860189,1.783702,0.811818,0.489208,-0.223927,0.226899
248,KingsCollege1,train,seq6,KingsCollege/seq6/frame00170.png,-1.352641,-17.702752,1.470534,0.781863,0.488821,-0.272691,0.274561
249,KingsCollege1,train,seq6,KingsCollege/seq6/frame00171.png,-1.855831,-17.243862,1.773484,0.767918,0.502386,-0.288137,0.273656
250,KingsCollege1,train,seq6,KingsCollege/seq6/frame00172.png,-2.531985,-16.963616,1.815802,0.742122,0.513978,-0.294323,0.313778
251,KingsCollege1,train,seq6,KingsCollege/seq6/frame00173.png,-3.171746,-16.660919,1.828747,0.759554,0.50174,-0.284105,0.301031
252,KingsCollege1,train,seq6,KingsCollege/seq6/frame00174.png,-3.953537,-16.472801,1.879877,0.756082,0.497093,-0.272997,0.326667
253,KingsCollege1,train,seq6,KingsCollege/seq6/frame00175.png,-4.574904,-16.097511,1.675578,0.757425,0.490908,-0.273599,0.332355
254,KingsCollege1,train,seq6,KingsCollege/seq6/frame00176.png,-5.412268,-15.898998,1.697211,0.736734,0.473768,-0.309039,0.370488
255,KingsCollege1,train,seq6,KingsCollege/seq6/frame00177.png,-5.882368,-15.405277,1.535326,0.734894,0.486281,-0.333355,0.335166
256,KingsCollege1,train,seq6,KingsCollege/seq6/frame00178.png,-6.631381,-15.092983,1.699995,0.74214,0.482573,-0.323837,0.333889
257,KingsCollege1,train,seq6,KingsCollege/seq6/frame00179.png,-7.214345,-14.839623,1.399085,0.749485,0.470412,-0.342004,0.316257
258,KingsCollege1,train,seq6,KingsCollege/seq6/frame00180.png,-8.038119,-14.84241,1.556139,0.750274,0.484934,-0.315747,0.319738
259,KingsCollege1,train,seq6,KingsCollege/seq6/frame00181.png,-8.644491,-14.760382,1.518683,0.748971,0.505322,-0.295623,0.310322
260,KingsCollege1,train,seq6,KingsCollege/seq6/frame00182.png,-9.365114,-14.86997,1.644937,0.759611,0.5174,-0.269683,0.287334
261,KingsCollege1,train,seq6,KingsCollege/seq6/frame00183.png,-9.996625,-14.829754,1.61711,0.745533,0.525164,-0.270735,0.30836
262,KingsCollege1,train,seq6,KingsCollege/seq6/frame00184.png,-10.671704,-14.814398,1.605484,0.731235,0.502663,-0.29592,0.353633
263,KingsCollege1,train,seq6,KingsCollege/seq6/frame00185.png,-11.322298,-14.664677,1.619086,0.715223,0.506163,-0.310971,0.368175
264,KingsCollege1,train,seq6,KingsCollege/seq6/frame00186.png,-11.872846,-14.427056,1.674332,0.706636,0.489026,-0.346901,0.375738
265,KingsCollege1,train,seq6,KingsCollege/seq6/frame00187.png,-12.192733,-14.19584,1.882134,0.644784,0.479275,-0.385976,0.453401
266,KingsCollege1,train,seq6,KingsCollege/seq6/frame00188.png,-12.296826,-14.13206,1.943205,0.576208,0.472935,-0.421842,0.516107
