img_path,t1,t2,t3,q1,q2,q3,q4,runtime
../../data/Cambridge/ShopFacade/seq3/frame00001.png,-12.1686039,-7.6995959,1.9170567,0.6391015,0.6277521,-0.3191624,0.3092119,0.06026124954223633
../../data/Cambridge/ShopFacade/seq3/frame00002.png,-12.2204390,-7.5902867,1.9323089,0.6396417,0.6318566,-0.3141670,0.3048195,0.0238039493560791
../../data/Cambridge/ShopFacade/seq3/frame00003.png,-12.1247168,-7.6517267,1.8826512,0.6404848,0.6328852,-0.3144741,0.3005686,0.02324080467224121
../../data/Cambridge/ShopFacade/seq3/frame00004.png,-12.0547247,-7.8456750,1.9127735,0.6397098,0.6410828,-0.3022011,0.2974201,0.02342677116394043
../../data/Cambridge/ShopFacade/seq3/frame00005.png,-11.9069262,-7.7496586,1.9249802,0.6341717,0.6360646,-0.3071929,0.3144527,0.023709774017333984
../../data/Cambridge/ShopFacade/seq3/frame00006.png,-11.1677380,-8.2353668,1.8878438,0.6415842,0.6367639,-0.2964266,0.3082739,0.023220300674438477
../../data/Cambridge/ShopFacade/seq3/frame00007.png,-10.3829002,-8.3569231,1.8830912,0.6392651,0.6494432,-0.2921387,0.2902046,0.022826194763183594
../../data/Cambridge/ShopFacade/seq3/frame00008.png,-9.6814747,-8.2145147,1.8270220,0.6496228,0.6356136,-0.2885824,0.3011741,0.023249387741088867
../../data/Cambridge/ShopFacade/seq3/frame00009.png,-8.7765684,-8.1559486,1.8339838,0.6544241,0.6367145,-0.2805658,0.2959840,0.023630380630493164
../../data/Cambridge/ShopFacade/seq3/frame00010.png,-7.6022215,-8.1887617,1.7832905,0.6558622,0.6452709,-0.2783097,0.2757064,0.023264646530151367
../../data/Cambridge/ShopFacade/seq3/frame00011.png,-6.8831291,-7.4892836,1.7671112,0.6631331,0.6186371,-0.2855128,0.3098790,0.022921085357666016
../../data/Cambridge/ShopFacade/seq3/frame00012.png,-6.4961286,-7.2458768,1.7623787,0.6587989,0.6383049,-0.3025480,0.2588737,0.02326822280883789
../../data/Cambridge/ShopFacade/seq3/frame00013.png,-5.9978995,-6.6105189,1.7190644,0.6574498,0.6394467,-0.3031085,0.2588300,0.023041963577270508
../../data/Cambridge/ShopFacade/seq3/frame00014.png,-5.7748952,-6.2084723,1.7390723,0.6583797,0.6349889,-0.3069631,0.2628669,0.022481679916381836
../../data/Cambridge/ShopFacade/seq3/frame00015.png,-6.0746403,-6.6760917,1.6153831,0.7002168,0.6018264,-0.2805659,0.2622674,0.02240610122680664
../../data/Cambridge/ShopFacade/seq3/frame00016.png,-5.6763110,-6.2330790,1.6797394,0.7046950,0.5869882,-0.2812411,0.2824062,0.022263765335083008
../../data/Cambridge/ShopFacade/seq3/frame00017.png,-5.7305326,-6.4491963,1.6505648,0.8221236,-0.1480315,-0.1290522,0.5343642,0.022835731506347656
../../data/Cambridge/ShopFacade/seq3/frame00018.png,-3.9869313,-5.6771784,1.7602400,0.6851791,0.6253282,-0.2484197,0.2788942,0.02324080467224121
../../data/Cambridge/ShopFacade/seq3/frame00019.png,-3.2685130,-6.7527776,1.8180423,0.6899188,0.6431805,-0.2277089,0.2418255,0.02272200584411621
../../data/Cambridge/ShopFacade/seq3/frame00020.png,-2.8441565,-7.1707830,1.8283541,0.6907210,0.6506243,-0.2149868,0.2310260,0.022908449172973633
../../data/Cambridge/ShopFacade/seq3/frame00021.png,-2.4178345,-8.2296000,1.7896638,0.6905447,0.6502647,-0.2124258,0.2349021,0.02322697639465332
../../data/Cambridge/ShopFacade/seq3/frame00022.png,-1.4698287,-8.6282825,1.7340720,0.7100975,0.6652524,-0.1551713,0.1706535,0.02306985855102539
../../data/Cambridge/ShopFacade/seq3/frame00023.png,-1.1125789,-9.0616999,1.7776514,0.7088054,0.6607660,-0.1505835,0.1957235,0.022959470748901367
../../data/Cambridge/ShopFacade/seq3/frame00024.png,-1.0342747,-9.5754576,1.7168497,0.7248282,0.6615609,-0.1251452,0.1459449,0.023232698440551758
../../data/Cambridge/ShopFacade/seq3/frame00025.png,-1.5021427,-9.5807486,1.7032171,0.7194527,0.6612396,-0.1573795,0.1427647,0.023329973220825195
../../data/Cambridge/ShopFacade/seq3/frame00026.png,-1.8501623,-9.2287855,1.7266001,0.7034252,0.6732046,-0.1854271,0.1326853,0.022743701934814453
../../data/Cambridge/ShopFacade/seq3/frame00027.png,-2.3074441,-8.7424059,1.7201842,0.7121665,0.6582685,-0.1964468,0.1446036,0.022661924362182617
../../data/Cambridge/ShopFacade/seq3/frame00028.png,-2.8252814,-8.0845270,1.7406614,0.6928720,0.6541926,-0.2324488,0.1947510,0.0231325626373291
../../data/Cambridge/ShopFacade/seq3/frame00029.png,-3.3825963,-7.1281838,1.7703028,0.6791608,0.6415184,-0.2470272,0.2572403,0.023177385330200195
../../data/Cambridge/ShopFacade/seq3/frame00030.png,-4.1821909,-6.5679770,1.7909333,0.6769089,0.6350781,-0.2745212,0.2512135,0.023188114166259766
../../data/Cambridge/ShopFacade/seq3/frame00031.png,-4.3285966,-6.3855300,1.7771415,0.6574982,0.6213505,-0.2911180,0.3112393,0.022902965545654297
../../data/Cambridge/ShopFacade/seq3/frame00032.png,-5.1259842,-5.8165879,1.8112054,0.6491373,0.6089199,-0.3081465,0.3359811,0.023381948471069336
../../data/Cambridge/ShopFacade/seq3/frame00033.png,-5.4806886,-4.7957716,1.8392737,0.6397936,0.6055560,-0.3123686,0.3555163,0.023050546646118164
../../data/Cambridge/ShopFacade/seq3/frame00034.png,-6.1698823,-4.2025080,1.8134934,0.6278579,0.6028774,-0.3235624,0.3709996,0.024617433547973633
../../data/Cambridge/ShopFacade/seq3/frame00035.png,-6.7278891,-3.4154651,1.7950565,0.6217216,0.6000434,-0.3370526,0.3739060,0.034584760665893555
../../data/Cambridge/ShopFacade/seq3/frame00036.png,-7.1918192,-2.8200173,1.8136059,0.6004206,0.5904608,-0.3584752,0.4029227,0.02774953842163086
../../data/Cambridge/ShopFacade/seq3/frame00037.png,-7.3279757,-2.2664549,1.7989718,0.5733142,0.5643041,-0.4152554,0.4247760,0.02379608154296875
../../data/Cambridge/ShopFacade/seq3/frame00038.png,-8.3167734,-1.1318600,1.8413639,0.5406840,0.5417282,-0.4364800,0.4729445,0.023488521575927734
../../data/Cambridge/ShopFacade/seq3/frame00039.png,-8.6116743,0.2539948,1.8203704,0.5059983,0.4861993,-0.5010152,0.5065174,0.02322101593017578
../../data/Cambridge/ShopFacade/seq3/frame00040.png,-9.0976915,1.1942036,1.8566647,0.4912798,0.5007808,-0.4730331,0.5330126,0.023708343505859375
../../data/Cambridge/ShopFacade/seq3/frame00041.png,-9.1603107,1.5426292,1.8435405,0.5074725,0.5181666,-0.4513869,0.5198315,0.02358555793762207
../../data/Cambridge/ShopFacade/seq3/frame00042.png,-9.9320393,2.7260270,1.8714019,0.4991868,0.5028633,-0.4627934,0.5326944,0.02317953109741211
../../data/Cambridge/ShopFacade/seq3/frame00043.png,-9.5390015,3.5928421,1.8255061,0.4695244,0.4762364,-0.4967101,0.5531951,0.022923946380615234
../../data/Cambridge/ShopFacade/seq3/frame00044.png,-9.9093637,4.6176677,1.8102778,0.4618407,0.4636627,-0.4868374,0.5785407,0.023282289505004883
../../data/Cambridge/ShopFacade/seq3/frame00045.png,-9.2628269,5.4727187,1.7978014,0.4308653,0.4340059,-0.5177454,0.5982755,0.023190975189208984
../../data/Cambridge/ShopFacade/seq3/frame00046.png,-9.6493788,6.4636798,1.7453237,0.4236624,0.4137860,-0.5153401,0.6194481,0.02367997169494629
../../data/Cambridge/ShopFacade/seq3/frame00047.png,-9.1862154,6.9518175,1.7350291,0.4002829,0.3975581,-0.5388249,0.6256108,0.02365255355834961
../../data/Cambridge/ShopFacade/seq3/frame00048.png,-8.5332975,7.2675333,1.7337010,0.4062924,0.4117791,-0.5295478,0.6204382,0.024437904357910156
../../data/Cambridge/ShopFacade/seq3/frame00049.png,-8.1699047,7.6664824,1.7307283,0.3890442,0.4006764,-0.5451745,0.6252102,0.025686264038085938
../../data/Cambridge/ShopFacade/seq3/frame00050.png,-7.6691861,7.9944167,1.7420394,0.3909096,0.4107215,-0.5403178,0.6217348,0.024976015090942383
../../data/Cambridge/ShopFacade/seq3/frame00051.png,-7.3639622,9.2146225,1.7519614,0.3667974,0.3915767,-0.5523933,0.6379570,0.02427983283996582
../../data/Cambridge/ShopFacade/seq3/frame00052.png,-6.8227677,9.2150383,1.7617866,0.3632361,0.3989137,-0.5600951,0.6286660,0.023878812789916992
../../data/Cambridge/ShopFacade/seq3/frame00053.png,-7.1999688,9.7113237,1.7305602,0.3638296,0.3764256,-0.5524473,0.6486399,0.02331399917602539
../../data/Cambridge/ShopFacade/seq3/frame00054.png,-7.0865760,9.0741282,1.7114381,0.3910208,0.3852356,-0.5514207,0.6281970,0.023143291473388672
../../data/Cambridge/ShopFacade/seq3/frame00055.png,-7.1196690,10.8834734,1.6929646,0.3861068,0.3868640,-0.5479619,0.6332421,0.02279973030090332
../../data/Cambridge/ShopFacade/seq3/frame00056.png,-6.9988689,10.9413567,1.7295233,0.3308257,0.3536933,-0.5782530,0.6565659,0.022735595703125
../../data/Cambridge/ShopFacade/seq3/frame00057.png,-6.8583751,11.3627682,1.7118068,0.3130203,0.3572196,-0.5821812,0.6599072,0.02317047119140625
../../data/Cambridge/ShopFacade/seq3/frame00058.png,-7.1369262,12.2384691,1.7206279,0.2784043,0.3230158,-0.5960847,0.6803197,0.023064851760864258
../../data/Cambridge/ShopFacade/seq3/frame00059.png,-7.2952337,12.2877903,1.7228222,0.2793258,0.3151372,-0.6074553,0.6735456,0.02355670928955078
../../data/Cambridge/ShopFacade/seq3/frame00060.png,-6.8325601,13.3770399,1.7118970,0.2639979,0.3196186,-0.6111087,0.6743109,0.023438453674316406
../../data/Cambridge/ShopFacade/seq3/frame00061.png,-6.9147716,14.0494080,1.7169452,0.2623646,0.3012264,-0.6254583,0.6702458,0.022802352905273438
../../data/Cambridge/ShopFacade/seq3/frame00062.png,-6.7294054,14.8952084,1.6997762,0.2562522,0.3117309,-0.6197235,0.6731281,0.023049592971801758
../../data/Cambridge/ShopFacade/seq3/frame00063.png,-6.5907097,15.3838129,1.7183292,0.2407761,0.2892841,-0.6334504,0.6760784,0.02277088165283203
../../data/Cambridge/ShopFacade/seq3/frame00064.png,-6.5172467,16.0751228,1.7734460,0.2535045,0.2864856,-0.6253790,0.6801195,0.02310800552368164
../../data/Cambridge/ShopFacade/seq3/frame00065.png,-6.4894586,16.6034184,1.7570281,0.2212641,0.2507596,-0.6448444,0.6872681,0.02318716049194336
../../data/Cambridge/ShopFacade/seq3/frame00066.png,-6.1772695,17.2380867,1.7618126,0.1949773,0.1946948,-0.6721213,0.6872633,0.02325439453125
../../data/Cambridge/ShopFacade/seq3/frame00067.png,-5.9075661,17.5522766,1.7744935,0.1890056,0.1711187,-0.6781924,0.6892390,0.022823095321655273
../../data/Cambridge/ShopFacade/seq1/frame00001.png,-0.1229385,-10.2387686,1.6975143,0.7267365,0.6721277,-0.1028200,0.0976038,0.023152589797973633
../../data/Cambridge/ShopFacade/seq1/frame00002.png,-0.1979901,-10.2803421,1.7270492,0.7229289,0.6719443,-0.1161972,0.1111878,0.02315545082092285
../../data/Cambridge/ShopFacade/seq1/frame00003.png,-0.2745167,-10.1985626,1.7124387,0.7272568,0.6691644,-0.1100543,0.1058517,0.023132801055908203
../../data/Cambridge/ShopFacade/seq1/frame00004.png,-0.3598883,-10.0951691,1.6926324,0.7276870,0.6633838,-0.1196423,0.1268039,0.022942066192626953
../../data/Cambridge/ShopFacade/seq1/frame00005.png,-0.4428878,-10.5284204,1.7429273,0.7274675,0.6690808,-0.1194635,0.0940769,0.02305150032043457
../../data/Cambridge/ShopFacade/seq1/frame00006.png,-0.7047381,-10.4235229,1.7300248,0.7267260,0.6708835,-0.1295191,0.0707774,0.02311396598815918
../../data/Cambridge/ShopFacade/seq1/frame00007.png,-1.2010180,-9.9815636,1.7210176,0.7297775,0.6667510,-0.1194648,0.0927157,0.02302408218383789
