img_path,t1,t2,t3,q1,q2,q3,q4,runtime
../../data/Cambridge/StMarysChurch/seq13/frame00001.png,4.3654137,0.0835895,-16.5301228,0.9848819,-0.1395290,-0.1023598,0.0078570,0.05049729347229004
../../data/Cambridge/StMarysChurch/seq13/frame00002.png,4.4316983,0.0878745,-16.4153175,0.9845994,-0.1423698,-0.1011605,0.0078276,0.023667335510253906
../../data/Cambridge/StMarysChurch/seq13/frame00003.png,4.6099834,0.0867580,-16.2372570,0.9854944,-0.1420752,-0.0926602,0.0054259,0.023039817810058594
../../data/Cambridge/StMarysChurch/seq13/frame00004.png,5.2332091,0.0079524,-16.0933647,0.9749367,-0.1945787,-0.1077768,0.0046740,0.0231015682220459
../../data/Cambridge/StMarysChurch/seq13/frame00005.png,5.0715766,0.0448937,-15.8033724,0.9792960,-0.1669192,-0.1141789,0.0089735,0.023026704788208008
../../data/Cambridge/StMarysChurch/seq13/frame00006.png,6.0697188,-0.0166439,-15.4619379,0.9729366,-0.2114116,-0.0932627,0.0013218,0.023761987686157227
../../data/Cambridge/StMarysChurch/seq13/frame00007.png,6.5711861,-0.0677534,-15.2972755,0.9705913,-0.2121980,-0.1131001,0.0115260,0.025229930877685547
../../data/Cambridge/StMarysChurch/seq13/frame00008.png,7.1810985,-0.0841574,-14.9244404,0.9696950,-0.2275793,-0.0888211,0.0031596,0.024571657180786133
../../data/Cambridge/StMarysChurch/seq13/frame00009.png,8.2611275,-0.1614040,-14.9116573,0.9765007,-0.2061474,-0.0628339,0.0012128,0.023961782455444336
../../data/Cambridge/StMarysChurch/seq13/frame00010.png,8.6036644,-0.2223751,-14.8741579,0.9581265,-0.2773032,-0.0691342,0.0178024,0.02380824089050293
../../data/Cambridge/StMarysChurch/seq13/frame00011.png,9.5126047,-0.2983801,-17.0820694,0.9298733,-0.3668425,-0.0106692,0.0254628,0.023067474365234375
../../data/Cambridge/StMarysChurch/seq13/frame00012.png,8.8588419,-0.3289538,-17.4627705,0.9269798,-0.3733782,-0.0304732,0.0191962,0.022476911544799805
../../data/Cambridge/StMarysChurch/seq13/frame00013.png,8.8800240,-0.2788586,-17.2735634,0.9228154,-0.3841639,-0.0205526,0.0201879,0.025417566299438477
../../data/Cambridge/StMarysChurch/seq13/frame00014.png,9.9007206,-0.3591937,-17.3682423,0.9237475,-0.3826277,-0.0088744,0.0144173,0.022297143936157227
../../data/Cambridge/StMarysChurch/seq13/frame00015.png,10.6203480,-0.3493271,-17.2667332,0.9320568,-0.3618101,-0.0012659,0.0190254,0.022792339324951172
../../data/Cambridge/StMarysChurch/seq13/frame00016.png,11.8977957,-0.3682664,-16.1525974,0.9584180,-0.2848946,0.0005339,0.0164270,0.02233123779296875
../../data/Cambridge/StMarysChurch/seq13/frame00017.png,12.3802977,-0.3126690,-14.4931917,0.9835923,-0.1747877,0.0428490,-0.0126228,0.02227616310119629
../../data/Cambridge/StMarysChurch/seq13/frame00018.png,11.2781639,-0.2100769,-13.3540468,0.9910104,-0.0876998,0.1006701,-0.0085237,0.02231287956237793
../../data/Cambridge/StMarysChurch/seq13/frame00019.png,11.3753395,-0.2045390,-12.8915815,0.9861884,-0.0673099,0.1508065,-0.0126245,0.022750139236450195
../../data/Cambridge/StMarysChurch/seq13/frame00020.png,11.8652706,-0.2218658,-12.2226925,0.9888728,-0.0662095,0.1317509,-0.0197115,0.02230691909790039
../../data/Cambridge/StMarysChurch/seq13/frame00021.png,13.1449633,-0.2547924,-12.6753559,0.9666262,-0.0491591,0.2492644,-0.0329308,0.022215604782104492
../../data/Cambridge/StMarysChurch/seq13/frame00022.png,13.4711180,-0.2884640,-12.5185623,0.9608856,-0.0814443,0.2630287,-0.0296906,0.022160768508911133
../../data/Cambridge/StMarysChurch/seq13/frame00023.png,12.3511581,-0.2852805,-13.5080385,0.9797942,-0.0886185,0.1781001,-0.0207453,0.022763967514038086
../../data/Cambridge/StMarysChurch/seq13/frame00024.png,15.7991962,-0.4600760,-13.5219622,0.9869777,-0.1592596,0.0221339,-0.0046296,0.022558927536010742
../../data/Cambridge/StMarysChurch/seq13/frame00025.png,15.8874722,-0.4790587,-12.9269638,0.9841244,-0.1770919,-0.0116204,-0.0015857,0.022365570068359375
../../data/Cambridge/StMarysChurch/seq13/frame00026.png,16.7356396,-0.5525209,-12.4101954,0.9859706,-0.1543271,0.0623573,-0.0125251,0.022361278533935547
../../data/Cambridge/StMarysChurch/seq13/frame00027.png,17.3548145,-0.5314656,-12.3073921,0.9937642,-0.1071994,0.0254785,-0.0170827,0.023546695709228516
../../data/Cambridge/StMarysChurch/seq13/frame00028.png,16.5580845,-0.4312145,-12.3034573,0.9943677,-0.0994398,0.0319981,-0.0179108,0.023006200790405273
../../data/Cambridge/StMarysChurch/seq13/frame00029.png,18.0821686,-0.4830089,-10.8343925,0.9945675,-0.0601332,0.0800584,-0.0284652,0.02296757698059082
../../data/Cambridge/StMarysChurch/seq13/frame00030.png,19.2714462,-0.4947302,-11.9086304,0.9891105,-0.0646378,0.1307178,-0.0198814,0.023480892181396484
../../data/Cambridge/StMarysChurch/seq13/frame00031.png,19.9372978,-0.5999399,-11.4787703,0.9894927,-0.0630843,0.1267275,-0.0294069,0.02352428436279297
../../data/Cambridge/StMarysChurch/seq13/frame00032.png,19.4149723,-0.5414085,-12.1487379,0.9939103,-0.0662900,0.0858489,-0.0194372,0.022610902786254883
../../data/Cambridge/StMarysChurch/seq13/frame00033.png,20.3959312,-0.6541951,-11.2104797,0.9858219,-0.0637782,0.1495450,-0.0415193,0.02208399772644043
../../data/Cambridge/StMarysChurch/seq13/frame00034.png,21.2493877,-0.6553693,-10.6784372,0.9915649,-0.0540530,0.1145970,-0.0272910,0.0224151611328125
../../data/Cambridge/StMarysChurch/seq13/frame00035.png,21.7538948,-0.7260305,-12.5319376,0.9944357,-0.0713193,0.0762398,-0.0140921,0.023065805435180664
../../data/Cambridge/StMarysChurch/seq13/frame00036.png,23.4658546,-0.7797576,-12.3550940,0.9909484,-0.0684494,0.1154726,0.0013938,0.02270054817199707
../../data/Cambridge/StMarysChurch/seq13/frame00037.png,24.4742317,-0.8619707,-12.1302404,0.9850200,-0.0757245,0.1533556,-0.0219861,0.0229947566986084
../../data/Cambridge/StMarysChurch/seq13/frame00038.png,24.7698441,-0.8421457,-12.7040863,0.9816705,-0.0611354,0.1775385,-0.0326427,0.02298879623413086
../../data/Cambridge/StMarysChurch/seq13/frame00039.png,26.2813816,-0.9033280,-11.2624960,0.9741089,-0.0505219,0.2165259,-0.0409378,0.02292013168334961
../../data/Cambridge/StMarysChurch/seq13/frame00040.png,26.5354366,-0.9272784,-11.2749929,0.9786149,-0.0417536,0.1976890,-0.0385826,0.022699356079101562
../../data/Cambridge/StMarysChurch/seq13/frame00041.png,27.4937191,-0.9352217,-11.9633751,0.9724451,-0.0534715,0.2229830,-0.0420684,0.023050546646118164
../../data/Cambridge/StMarysChurch/seq13/frame00042.png,27.8712063,-0.9607066,-11.6623287,0.9663702,-0.0408749,0.2500155,-0.0441591,0.02270340919494629
../../data/Cambridge/StMarysChurch/seq13/frame00043.png,28.9441910,-0.9819286,-11.2954884,0.9683860,-0.0443671,0.2426865,-0.0369230,0.022948026657104492
../../data/Cambridge/StMarysChurch/seq13/frame00044.png,29.0627251,-1.0044010,-11.6479254,0.9613985,-0.0501812,0.2678396,-0.0381672,0.022747516632080078
../../data/Cambridge/StMarysChurch/seq13/frame00045.png,29.9556828,-1.0566343,-12.4856529,0.9645539,-0.0536660,0.2564825,-0.0311865,0.022901535034179688
../../data/Cambridge/StMarysChurch/seq13/frame00046.png,30.2215176,-1.0695090,-12.3852491,0.9599771,-0.0555884,0.2704755,-0.0468713,0.02272653579711914
../../data/Cambridge/StMarysChurch/seq13/frame00047.png,31.5800400,-1.1127156,-11.8488226,0.9478494,-0.0490870,0.3121049,-0.0419823,0.022899866104125977
../../data/Cambridge/StMarysChurch/seq13/frame00048.png,32.0489235,-1.1347910,-11.7323713,0.9536878,-0.0470105,0.2941257,-0.0419471,0.022524595260620117
../../data/Cambridge/StMarysChurch/seq13/frame00049.png,32.7014771,-1.1614749,-10.4900331,0.9584706,-0.0445812,0.2778709,-0.0462015,0.02362203598022461
../../data/Cambridge/StMarysChurch/seq13/frame00050.png,31.9848804,-1.1639925,-9.4495430,0.9793600,-0.0274041,0.1965834,-0.0381859,0.024567604064941406
../../data/Cambridge/StMarysChurch/seq13/frame00051.png,33.7479286,-1.2281646,-10.4107313,0.9642029,-0.0582912,0.2565068,-0.0334523,0.054714202880859375
../../data/Cambridge/StMarysChurch/seq13/frame00052.png,33.8026619,-1.3046558,-10.2592859,0.9679452,-0.0553251,0.2436692,-0.0254276,0.024718046188354492
../../data/Cambridge/StMarysChurch/seq13/frame00053.png,34.2199135,-1.2737964,-8.7946587,0.9491171,-0.0284660,0.3123985,-0.0278131,0.02338886260986328
../../data/Cambridge/StMarysChurch/seq13/frame00054.png,35.3629646,-1.2887862,-8.9993925,0.9421771,-0.0311362,0.3319931,-0.0333676,0.026273488998413086
../../data/Cambridge/StMarysChurch/seq13/frame00055.png,35.3690529,-1.2501626,-9.2072144,0.9155003,-0.0297601,0.3976568,-0.0533166,0.023270606994628906
../../data/Cambridge/StMarysChurch/seq13/frame00056.png,36.4173279,-1.2870252,-8.8692636,0.8883637,-0.0272064,0.4559456,-0.0467273,0.02382636070251465
../../data/Cambridge/StMarysChurch/seq13/frame00057.png,37.4536324,-1.3140172,-8.0750961,0.8686908,-0.0336251,0.4900466,-0.0640304,0.02317190170288086
../../data/Cambridge/StMarysChurch/seq13/frame00058.png,37.5823097,-1.3619107,-7.4463835,0.8329148,-0.0571640,0.5444030,-0.0813059,0.02237844467163086
