,scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
0,KingsCollege2,train,seq8,KingsCollege/seq8/frame00001.png,33.175974,-22.801465,1.445929,0.721892,0.6240140000000001,0.169282,-0.246619
1,KingsCollege2,train,seq8,KingsCollege/seq8/frame00002.png,33.209591,-22.74987,1.436124,0.722427,0.62336,0.167775,-0.2477349999999999
2,KingsCollege2,train,seq8,KingsCollege/seq8/frame00003.png,33.200591,-22.653296,1.462828,0.724023,0.6216659999999999,0.163881,-0.249931
3,KingsCollege2,train,seq8,KingsCollege/seq8/frame00004.png,33.070324,-22.313088,1.714056,0.728258,0.618698,0.157236,-0.2492579999999999
4,KingsCollege2,train,seq8,KingsCollege/seq8/frame00005.png,32.335778999999995,-22.594894,1.549094,0.736225,0.60388,0.158038,-0.261393
5,KingsCollege2,train,seq8,KingsCollege/seq8/frame00006.png,31.817120000000003,-22.493045,1.507578,0.735563,0.612753,0.138701,-0.253461
6,KingsCollege2,train,seq8,KingsCollege/seq8/frame00007.png,31.170279,-22.324362,1.622667,0.766569,0.582908,0.138504,-0.2311
7,KingsCollege2,train,seq8,KingsCollege/seq8/frame00008.png,30.43578,-22.270689,1.583911,0.7797689999999999,0.582329,0.1032849999999999,-0.205391
8,KingsCollege2,train,seq8,KingsCollege/seq8/frame00009.png,29.824357,-21.978109,1.7555490000000002,0.792882,0.569786,0.074748,-0.202718
9,KingsCollege2,train,seq8,KingsCollege/seq8/frame00010.png,29.145427,-22.165855,1.69152,0.800117,0.568469,0.0620029999999999,-0.181139
10,KingsCollege2,train,seq8,KingsCollege/seq8/frame00011.png,28.55481,-22.601437,1.674348,0.816734,0.533411,0.083745,-0.20348
11,KingsCollege2,train,seq8,KingsCollege/seq8/frame00012.png,27.545185,-22.556603,1.910587,0.7701720000000001,0.582782,0.1196589999999999,-0.229962
12,KingsCollege2,train,seq8,KingsCollege/seq8/frame00013.png,26.839557,-22.454247,1.928567,0.767231,0.5883649999999999,0.11577,-0.227552
13,KingsCollege2,train,seq8,KingsCollege/seq8/frame00014.png,26.289428000000004,-22.393813,1.779254,0.77945,0.570975,0.105833,-0.23504
14,KingsCollege2,train,seq8,KingsCollege/seq8/frame00015.png,25.450378,-22.302451,1.798709,0.7769020000000001,0.575874,0.1267319999999999,-0.220754
15,KingsCollege2,train,seq8,KingsCollege/seq8/frame00016.png,24.761601,-21.844288,1.894519,0.75631,0.605454,0.146819,-0.1996619999999999
16,KingsCollege2,train,seq8,KingsCollege/seq8/frame00017.png,24.172555,-21.49329,1.8007,0.758582,0.605929,0.159436,-0.178839
17,KingsCollege2,train,seq8,KingsCollege/seq8/frame00018.png,23.635306,-21.133402,1.683415,0.760458,0.610164,0.134241,-0.177153
18,KingsCollege2,train,seq8,KingsCollege/seq8/frame00019.png,23.155827,-20.533975,1.637551,0.760826,0.6161800000000001,0.092943,-0.1811859999999999
19,KingsCollege2,train,seq8,KingsCollege/seq8/frame00020.png,22.353514,-20.484425,1.621336,0.7789159999999999,0.597724,0.079263,-0.172431
20,KingsCollege2,train,seq8,KingsCollege/seq8/frame00021.png,21.821092,-20.130762,1.571611,0.780108,0.603457,0.062227,-0.152967
21,KingsCollege2,train,seq8,KingsCollege/seq8/frame00022.png,21.117415,-19.745119,1.734564,0.777165,0.608538,0.088163,-0.133876
22,KingsCollege2,train,seq8,KingsCollege/seq8/frame00023.png,20.413314,-19.698998,1.727163,0.770825,0.612893,0.106314,-0.137438
23,KingsCollege2,train,seq8,KingsCollege/seq8/frame00024.png,19.704158,-19.372051000000003,1.71731,0.780215,0.608219,0.070889,-0.127706
