,scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
0,ShopFacade2,train,seq2,ShopFacade/seq2/frame00001.png,-11.664603,-8.199192,1.947634,0.6394890000000001,0.635026,-0.30913,0.303701
1,ShopFacade2,train,seq2,ShopFacade/seq2/frame00002.png,-11.571129,-8.124575,1.927274,0.6396310000000001,0.633421,-0.311817,0.304007
2,ShopFacade2,train,seq2,ShopFacade/seq2/frame00003.png,-11.538824,-8.112645,1.924713,0.6387189999999999,0.633004,-0.312232,0.306358
3,ShopFacade2,train,seq2,ShopFacade/seq2/frame00004.png,-11.355083,-8.097187,1.931257,0.6393220000000001,0.626909,-0.324235,0.305162
4,ShopFacade2,train,seq2,ShopFacade/seq2/frame00005.png,-10.899599,-8.262960000000001,1.88563,0.639442,0.656044,-0.304822,0.26039
5,ShopFacade2,train,seq2,ShopFacade/seq2/frame00006.png,-10.167713,-8.257541999999999,1.991857,0.633102,0.658194,-0.33641,0.229763
6,ShopFacade2,train,seq2,ShopFacade/seq2/frame00007.png,-9.663778,-8.502371,1.888298,0.646109,0.6434850000000001,-0.2998889999999999,0.2802429999999999
7,ShopFacade2,train,seq2,ShopFacade/seq2/frame00008.png,-9.019933,-8.666772,1.869336,0.643663,0.663484,-0.29008,0.247671
8,ShopFacade2,train,seq2,ShopFacade/seq2/frame00009.png,-8.325061,-8.790656,1.873442,0.6290680000000001,0.657017,-0.322297,0.262159
9,ShopFacade2,train,seq2,ShopFacade/seq2/frame00010.png,-7.762332000000001,-9.037367,1.890945,0.6407609999999999,0.6687770000000001,-0.299954,0.228452
10,ShopFacade2,train,seq2,ShopFacade/seq2/frame00011.png,-7.083651,-9.075439,1.867433,0.649007,0.6628,-0.301987,0.219751
11,ShopFacade4,train,seq2,ShopFacade/seq2/frame00012.png,-6.355244,-9.202148,1.83209,0.656384,0.662601,-0.286306,0.219428
12,ShopFacade4,train,seq2,ShopFacade/seq2/frame00013.png,-5.627983,-9.337562,1.7817630000000002,0.655507,0.667736,-0.28171,0.2123159999999999
13,ShopFacade4,train,seq2,ShopFacade/seq2/frame00014.png,-4.795787000000001,-9.432166,1.780116,0.658304,0.67005,-0.271119,0.210152
14,ShopFacade4,train,seq2,ShopFacade/seq2/frame00015.png,-3.988494,-9.349111,1.728554,0.651347,0.695494,-0.241986,0.182971
15,ShopFacade4,train,seq2,ShopFacade/seq2/frame00016.png,-3.240798,-9.508576,1.731322,0.669546,0.6829,-0.247689,0.15494
16,ShopFacade4,train,seq2,ShopFacade/seq2/frame00017.png,-2.486688,-9.694231,1.7057790000000002,0.677922,0.689801,-0.2054619999999999,0.1496029999999999
17,ShopFacade4,train,seq2,ShopFacade/seq2/frame00018.png,-1.671369,-9.767439,1.698268,0.684833,0.677071,-0.227987,0.143529
18,ShopFacade4,train,seq2,ShopFacade/seq2/frame00019.png,-0.987356,-9.904027,1.699195,0.685363,0.6984899999999999,-0.174422,0.109385
19,ShopFacade4,train,seq2,ShopFacade/seq2/frame00020.png,-0.180835,-9.947739,1.707626,0.691153,0.686189,-0.192843,0.119431
20,ShopFacade4,train,seq2,ShopFacade/seq2/frame00021.png,0.5633100000000001,-10.04971,1.6834330000000002,0.689333,0.712383,-0.116854,0.060617
